origin_id,x_or,y_or,x_ta,y_ta
A,1454,714,1362,1219
B,1486,680,1394,1162
C,1326,727,1337,1247
D,960,1054,1314,1419
E,1406,500,1310,725
F,1298,500,1209,820
G,946,500,972,1047
H,751,500,856,1161
I,611,500,760,1249
J,1898,768,1602,1151
K,51,738,1008,1673
L,341,506,506,1483
M,1525,507,1432,613
N,1210,1036,1350,1389
O,508,1062,1264,1495
P,328,1003,1228,1525
Q,1689,932,1458,1305
R,166,884,1160,1579
S,105,788,1080,1623
T,44,714,972,1707
U,116,687,954,1673
V,127,706,990,1639
W,772,477,796,1067
X,947,477,900,970
Y,261,507,402,1581
Z,1735,513,1796,260
1,994,790,1266,1353
2,947,610,1159,1252
3,392,489,430,1386
4,1254,482,1138,751
